"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/WizardSpellsPack/Materials/M_SmoothStar1ts.M_SmoothStar1ts","0","167","1","1","117.907913","0","14958"
"/Game/WizardSpellsPack/Materials/M_Fresnel4.M_Fresnel4","0","149","1","1","61.104591","0","11207"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","36","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","0","14","1","1","4.990508","0","118"
"/Game/StarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","0","14","1","1","5.108789","0","118"
"/Game/SKnight_modular/Showcase/materials/M_scene.M_scene","0","23","1","1","8.911448","0","298"
"/Game/PlayerCharacter/Materials/M_Mage_Opacity.M_Mage_Opacity","0","54","1","1","17.751890","0","1602"
"/Game/MedievalDungeon/Materials/M_Torch_Flicker_Light_Function.M_Torch_Flicker_Light_Function","0","36","1","1","9.377059","0","701"
"/Game/MedievalDungeon/Materials/M_Flicker_Light_Function.M_Flicker_Light_Function","0","36","1","1","0.000000","0","701"
"/Game/EssentialAnimation/MagicStaff/Demo/Material/M_Decal.M_Decal","0","23","1","1","15.794180","0","298"
"/Game/FXVarietyPack/Materials/M_ky_empty.M_ky_empty","0","12","1","1","6.334129","0","89"
"/Game/EssentialAnimation/MagicStaff/Demo/Material/M_Translucent.M_Translucent","0","18","1","1","15.844725","0","188"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","12","1","0.000000","0","12"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","0","4","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","0","33","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","26","1","0.000000","0","0"
"/Game/EssentialAnimation/MagicStaff/Demo/Material/M_TextMaterialEmissive.M_TextMaterialEmissive","0","29","1","1","17.944242","0","469"
"/Game/WizardSpellsPack/Materials/M_SceneBricks.M_SceneBricks","0","23","1","1","14.720440","0","298"
"/Game/WizardSpellsPack/Materials/M_Stone3b.M_Stone3b","0","109","1","1","78.762314","0","6072"
"/Game/WizardSpellsPack/Materials/M_Smoke28lg.M_Smoke28lg","0","96","1","1","507.686371","0","4586"
"/Game/WizardSpellsPack/Materials/M_DistortionParticle.M_DistortionParticle","0","28","1","1","27.182880","0","382"
"/Game/WizardSpellsPack/Materials/M_TwoSides21.M_TwoSides21","0","167","1","1","95.553535","0","14156"
"/Game/WizardSpellsPack/Materials/M_Lightning11b.M_Lightning11b","0","129","1","1","92.400124","0","8197"
"/Game/WizardSpellsPack/Materials/M_Lightning10b.M_Lightning10b","0","149","1","1","109.742744","0","11065"
"/Game/WizardSpellsPack/Materials/M_Ice4.M_Ice4","0","99","1","1","74.146790","0","4989"
"/Game/WizardSpellsPack/Materials/M_Wave21b2.M_Wave21b2","0","129","1","1","90.484230","0","8204"
"/Game/WizardSpellsPack/Materials/M_LineDistort2a.M_LineDistort2a","0","129","1","1","90.997238","0","8238"
"/Game/WizardSpellsPack/Materials/M_Crack6b.M_Crack6b","0","149","1","1","106.445351","0","11203"
"/Game/WizardSpellsPack/Materials/M_Trail29a3.M_Trail29a3","0","129","1","1","93.978165","0","8208"
"/Game/WizardSpellsPack/Materials/M_Smoke21b.M_Smoke21b","0","129","1","1","79.076363","0","8085"
"/Game/WizardSpellsPack/Materials/M_Noise53b.M_Noise53b","0","149","1","1","101.614372","0","9161"
"/Game/WizardSpellsPack/Materials/M_Gradient17bd.M_Gradient17bd","0","163","1","1","116.602074","0","5053"
"/Game/WizardSpellsPack/Materials/M_Gradient17a.M_Gradient17a","0","149","3","1","90.595680","0","4861"
"/Game/WizardSpellsPack/Materials/M_FireF4.M_FireF4","0","109","2","1","66.074554","0","2395"
"/Game/WizardSpellsPack/Materials/M_Circle116a.M_Circle116a","0","109","2","1","62.932453","0","2868"
"/Game/PlayerCharacter/Materials/M_Mage_Eyelash.M_Mage_Eyelash","0","54","1","1","28.338320","0","999"
"/Game/PlayerCharacter/Materials/M_Mage_Eyes_Master.M_Mage_Eyes_Master","0","26","1","1","13.818715","0","267"
"/Game/ParagonGideon/FX/Materials/Heroes/Gideon/M_Wispy_Dark_Smoke_Trail.M_Wispy_Dark_Smoke_Trail","0","10","1","1","5.621848","0","56"
"/Game/ParagonGideon/FX/Materials/Water/M_Footfall_Refraction.M_Footfall_Refraction","0","10","1","1","4.444584","0","64"
"/Game/ParagonGideon/FX/Materials/Sparks/M_Soft_Spark_Glow.M_Soft_Spark_Glow","0","12","1","1","5.976655","0","81"
"/Game/ParagonGideon/FX/Materials/Water/M_Water_Impact_ImpactSplash.M_Water_Impact_ImpactSplash","0","48","1","1","30.184790","0","754"
"/Game/ParagonGideon/FX/Materials/Sparks/M_Hotdog_VLerp_DirectionTint.M_Hotdog_VLerp_DirectionTint","0","24","1","1","12.371246","0","244"
